horse_name,horse_id
CLEAR COURAGE,J257
TOP DRAGON,J481
CALIFORNIA BLITZ,J370
THE ABSOLUTE,H438
QUICK QUICK WIN,K102
SKY CAP,K125
GUMMY GUMMY,H089
WINNING WING,K129
LO RIDER,K161
EXCELLENCE VALUE,K093
SAVVY TWINKLE,K067
HAPPY HOLIDAY,J240
NOBLE GO,K053
SHOTGUN,K111
BROTHER CHENG,J046
QUICK CONTRIBUTION,K112
SUPER LOVE,K118
JOYFUL TREASURE,J496
GENERAL SMART,K138
NOBLE FANS,K038
MR JUSTICE,K072
LIVEANDLETLIVE,K156
REZEKI,J340
SUNNYVALE,K036
UP WITH CHARM,K139
TELL ME MORE,K019
PRESTIGE GOOD,K131
SUNNY Q,J223
AMAZING GALAXY,J238
BEAUTY FORMULA,K066
KA YING RADIANCE,K134
DREAMING WINNER,K046
VICTORY PATCH,J415
DREAM WINNER,H308
HOLMES A COURT,J511
PAKISTAN LEGACY,J363
VON BAER,K198
SILK ROAD GLORY,J361
CONSPIRATOR,K090
KING OF FIGHTERS,K174
BUCEPHALAS,K096
STARMEN,J199
DRACO,J115
IRON LEGION,J459
LA MOMENTO,J476
VIEW ALL THINGS,K101
INNO CENTURY,K113
FANTASTIC HONOUR,K100
MASK RIDER,K169
MONTA FRUTTA,H455
ANOTHER ZONDA,K176
CALL ME GORGEOUS,K091
I P O BROS,K193
SKY HEART,J092
MIDORI GIANT,K095
TEST FOR LOVE,K083
RICH HORSE,J191
SKY JEWELLERY,K032
MUSANG KING,K068
DIVINE MOONLIGHT,K119
FIT BEAUTY,J483
RAGING RAPIDS,J228
WITH A SMILE,K136
FLASH CURRENT,J500
SPICY STANDARD,J520
EVERYONE'S STAR,K172
NEW FOREST,K094
LOST CHILD,G461
CAMBRIDGE,K085
INVINCIBLE SHIELD,K168
GOLDEN FRIENDSHIP,K106
MAGNIFIQUE,K141
MAGIC BEANS,J549
APPEALING CITY,J491
SOUTH STAR,K153
CRIMSON FLASH,K173
SPARKLING FELLOW,K175
BLAZING BEAM,K103
YOUNG STRIKER,K029
YEE CHEONG GLORY,K074
ARDEN,J505
ENTHRALLED,K252
MID WINTER WIND,K208
SOLID CAR,K058
TAIHANG SCENERY,J314
LUCKY SAM GOR,K114
LA FORZA,J285
JUMBO TREASURE,K249
KING ALLOY,K099
KING VICTOR,K042
OCEAN IMPACT,J502
AUTUMN VIBES,K150
IRON FIGHTER,J497
SIGHT DREAMER,J542
OLDTOWN,K105
YIU CHEUNG VICTORY,J529
EVERSTAR,K264
MORGAN SUCCESS,K203
MR VIGOR,K164
LOOKS OUTSTANDING,K022
LUCKY KING,J449
SHINYU KOKOROE,K263
KOLACHI,J395
LASERBLANCA,K242
WROTE A NEW PAGE,K226
TIME TO FIRE,K117
LUCKY SYMPHONY,J089
BOMBUS,J410
EVERYONE'S GALLOP,K140
ROSEWOOD FLEETFOOT,J524
MAGIC COMBO,K213
CONSPIRACY WITNESS,J541
MEGA FORCE,K200
COLOURFUL KING,K227
SAL,K267
FREE PONY,K229
SUPER SICARIO,K306
LEADING ARTICLE,K071
AGENDA,K160
MANAPHY,K075
SUPER CONTENTED,H251
CELESTIAL PATCH,K151
CROSSBORDERPEGASUS,K008
AHREN,K183
BULB GENERAL,K218
JOY OF SPRING,H383
IGOT,K170
LEAN HERO,G402
MY INTELLIGENT,G031
AUTOMATED,K177
MULTIDUTCH,K171
JUSTIFYING,K027
SUPER STRONG KID,K180
HAPPY BOYS,J545
DASHING PAL,K045
LUCKY MY WAY,K146
FLYING AMANI,K152
MONDIAL,K206
RAMADAN,K309
YOUNG BRAVO,K178
LOVEISINTHEAIR,J550
STAR FIGURE,K215
ROMANTIC FANTASY,H168
TAI VICTORY,K124
MOUNT EVEREST,K237
TOP THRONE,K116
AKASHVANI,K234
SEA EMERALD,J518
SURUGA BAY,J022
SPEEDY TRIDENT,K230
CALL TO COMMAND,J243
CATCH ME IF U CAN,K060
LIGHTNESS OF BEING,K159
UNBELIEVABLE,J130
GHORGAN,K199
MR COOL,K184
ABSOLUTE HONOUR,K260
HONEST WITNESS,K283
GLACIATED,K272
GO GENERAL,H330
DAZZLING FIT,K298
DASH,K250
FLYING TING LOK,K228
CHEVAL VICTORIOUS,J458
MASTER CHAMPION,K266
WATCH THIS ONE,K268
REGAL GEM,K258
SUPER EXPRESS,K245
SNOWFIELD,K251
MAJESTIC DELIGHT,K189
POPE CODY,K313
RAGGA BOMB,K162
WARRIORS DREAM,K255
NUCLEOZOR,K285
WAVE GARDEN,K209
BASIC INSTINCT,K289
SOLID SHALAA,H228
REGENCY WIN WIN,K214
RISING FORCE,K236
G LINER,H072
FORTUNE STAR,K003
RUNJEET,K276
KA YING GLORY,K247
LITTLE PARADISE,K246
WINNING MACHINE,K239
TRULY FLUKE,K270
NORTHERN BEACHES,H266
STAR PERFORMER,K207
MARVEL AND GOLD,K109
VIRTUOUS PHANTOM,K147
FORTUNE SUPERNOVA,K287
SUPERB KID,H298
WITHOUT DELAY,K262
METAL KING,K135
ALL'S WELL,K294
SUNNY GALAXY,K328
STAR BROSE,J463
PEJIBAYE,K297
BULL ATTITUDE,K305
SMART ENGINEER,K244
LEGEND STAR,K271
SUNNY SING SPIRIT,K188
TARGET AUDIENCE,K107
SAVVY WARRIOR,K257
WINNING OVATION,K350
GENIUS BABY,K132
IGOR STRAVINSKY,K086
MASTER OF HUMOR,K281
CASA OF HONOR,K310
CHARITY TOGETHER,K254
THE ALL OUT,K291
QUICK MONEY,K377
BABIECA,K326
HYANNIS STAR,K331
SPARKLE AND GOLD,K259
MOTOR,K165
MOON ROCKET,K324
LAHORE,K043
COME FAST FAY FAY,K121
ROBOT MASTER,J107
GREAT LEGACY,K187
BEAU CADEAU,J334
RATTAN GALAXY,K143
BILLION TWO,K212
ACE,K307
FIGOPUMPKIN,K137
ONE MORE,K261
STAR SATYR,K231
BIG RETURN,K192
FAST SPEED,K351
LEGENDARY YEARS,K286
CASA RUBICK,K299
KING LOTUS,K186
SANDMAN,K220
AUTUMN DELIGHT,J090
SUGAR QUEEN PRAWN,K149
HANDSOME BLOND,K241
GAZELEY,K253
ALL ROUND WINNER,K382
INCREDIBLE MOMENT,K275
WISEMAN,K211
BOOMBAYAH,H307
BIG STRIDE,K194
RAINBOW SEVEN,K145
DIRIYA,K282
BULLISH PRIDE,K181
LUCKY SWEYNESSE,G180
A SHIN FENCER,K936
DANON MCKINLEY,K935
GAIA FORCE,K931
ROYAL PATRONAGE,K932
MR BRIGHTSIDE,K930
PROGNOSIS,H820
GOLIATH,K920
EL VENCEDOR,K929
RADIANT SWIFT,J425
KIAMA,K359
WIN METHOD,K406
ZHOU GONGJIN,K337
JUST FOLLOW ME,K332
PERFECTDAY,K238
BETTER AND BETTER,K277
TEAM TEAM FOLKS,K302
LUCKY TWIN STARS,K126
ANODE,K367
GOR GOR,K104
WIN BEAUTY VIVA,K368
WOLF COMING,K353
STRAIGHT TO GLORY,K340
WINNING DIAMOND,K216
CALIFORNIA SUN,J129
GENTLEMEN LEGACY,K385
CALIFORNIA BAY,K364
LOOKING BRIGHT,K315
WUKONG JEWELLERY,K314
BULLION BLITZ,K304
DANCING CLASSICS,J060
INVICTUS DRAGON,K318
NEW ASIA GREAT,J412
WATCH THE FORT,J522
BLAZING WUKONG,K335
LUCKY MCQUEEN,K064
WINNING DATA,H230
TOP TO SKY,K339
SZERYNG,K317
GALLANT REX,K243
GLORIOUS RYDER,K290
THE RED HARE,K312
LIGHT YEARS GLORY,K204
FIELD MARSHAL,K433
WINNING CHAMPION,K429
YOUNG FIGHTER,K464
KING DANCE,K157
INVINCIBLE IBIS,K296
NO OTHER CHOICE,K049
CIRCUIT CENTURY,K308
VOYAGE BOSS,K321
COPARTNER FLEET,K342
AUDACIOUS PURSUIT,K398
INNO SUPER,K319
VIVACIOUS WIN,K223
METRO POWER,K408
CELESTIAL HERO,K363
SIR CHARGE,K361
SUPER PACE,K349
VERY GRATEFUL,K396
FLOWING RICHES,K293
EMBLAZON,K122
SUPER UNIVERSAL,K303
PRESTIGE HALL,K040
SMART FAT CAT,K280
INFINITE RESOLVE,K369
TIER FLY,K311
SEA CHARIOT,K358
KEEN MOLLY,K386
WITHALLMYFAITH,K428
INCANTO STAR,K343
ONE AND ONLY,K273
AMAZING KID,K434
OSI HONOUR,K232
THE LION KING,K265
LUNAR DASH,K334
MIRACLE FIGHTER,K182
THE ALL ROUNDER,K402
HAPPY ACTION,K399
THE GOLDEN KNIGHT,K341
FLYING KNIGHT,K370
WINNING CIGAR,K422
A LA CHAMP,K179
ALABAMA SONG,K480
DASHING MAURISON,K374
MONEY TYCOON,K423
YEUX DE LIFELINE,K455
EMERGING STAR,K390
AEROVOLANIC,K400
TOURBILLON GOLFER,K320
STRANGE ALERT,K278
SUPREME MASTERMIND,K387
FIVEFORTWO,K381
LIGHTNESS OF MUSIC,K436
CIRRUS SPEED,K279
GREAT LOOKING,J198
ARGENTO OCEAN,K322
LIGHTNING ARROW,K360
YOUNG LEGACY,K465
GOLDEN BRILLIANT,K347
PERIDOT,K148
JUICY DRAGON,K405
MAGIC COSMOS,J411
HAPPY BUDDIES,K344
ONE MAN SHOW,K409
WIN EASE,K384
PRESTIGE SUPERIOR,K383
CALL ME TOPSEED,K357
GREY CHARGER,K425
PANACEA,K256
LIM'S SHAVANO,K424
WINNING MONEY,J116
THOUSAND SPIRIT,K365
NEZHA,K494
CONRAD THE GREAT,K217
AMAZING GAZE,K444
GLORIOUS KINGDOM,K269
ROMANTIC PARTY,K372
VIVA TASTE,K415
BEAUTY BOLT,K491
MR BOLT,K472
ROBOT LUCKY STAR,K485
MR DESIRA,K411
MING SUPREME,K430
SUPERB GUY,K323
EXTREME BOMB,K224
CHINA WIN,K395
LUCKY YEAR,K443
BROWNNEEDSFURTHER,K325
HERO SPARK,K221
SMILING ONE,K336
ACE CHAMPION,K379
SMART AVENUE,K474
TIN FOOK,K167
OTOKOMAE,K495
KINGDOM OF RICHES,K079
SUPER DRAGON,K389
MAZING GRACE,K166
HOT AIR BALLON,K144
ABSOLUTE AWAKENED,K039
SMILING FALCON,K459
SYMBOL OF STRENGTH,K352
SUN WUKONG,K492
LUCKY TWENTY,K392
POWER SUMMIT,K044
FRIENDS OF SHAJING,K202
SUNSET TRAIL,K420
FORZA TORO,K355
WE CAN PARTY,J341
CALIFORNIA WAVES,K477
FLASH STAR,K431
LUCKY FIELD,K292
CHILL BUDDY,K469
