horse_name,horse_id
BEAUTY CRESCENT,H334
FRANTANCK,H429
HARMONY N HOME,C531
SOLID WIN,J225
BALLISTIC WIN,J040
GALLANT CROWN,D359
CIRCUIT MIGHTY,G078
OWNERS' PRAISE,H047
GANGNAM STAR,H326
FAMILY JEWEL,J390
VIVA GRACIOUSNESS,J079
U S S CONSTITUTION,H357
PRINCE ALEX,G307
LUCKY GOLD,G112
BLAZING WIND,J157
SUPER FORTUNE,G065
HAROLD WIN,J280
GENEVA,J114
MASTER MASTERMIND,J024
YUEN LONG ELITE,J272
HAPPY FOR ALL,H181
TAKE ACTION,J098
DAY DAY VICTORY,J423
SUPER CHARIZZARD,J184
CHAMPION METHOD,H366
FIRST LOVE,J355
EN PERFECTO,J409
GORGEOUS WIN,J008
GLORY ELITE,H311
CAPTAIN WIN,E466
NOT USUAL STAR,G396
PRINCE OF PORTY,H009
ELEGANT LIFE,J366
ENDEARED,H161
KING ECCELLENTE,G264
SILO,J399
ALPHA ONE,J435
AWESOME TREASURE,E435
POLARIS,J404
YOUNG SUPERSTAR,J400
KAHOLO ANGEL,H216
MODULECONSTRUCTION,H127
VIVA A LA,G282
JOYFUL LIFE,H426
SUPER EAGLE,G408
SPEEDY CHARIOT,H193
CHEER FOR SOUTH,H178
HAPPY FEELING,H443
DAILY TROPHY,H283
WIND SPEEDER,E281
HIGH RISE POWER,H353
SCOTCH TYCOON,G088
GLORY B,H373
COSMO NAVIGATOR,H156
SIGHT HAPPY,J261
SIXTH GENERATION,G120
JOY COMING,H149
YODA'S CHOICE,J146
LIGHTNING BOLT,G130
PACKING POWER,J284
FAIRY HORSE,J144
AURORA LADY,J066
FLYING WROTE,J290
HAPPY TRIO,G244
COLONEL,D090
RAGNARR,H297
TO INFINITY,G277
NINJA DERBY,H339
YEABOI,G372
PRECISION GOAL,H016
RUNNING AHEAD,G313
INVINCIBLE MISSILE,C037
RELIABLE PROFIT,G462
RIGHT HONOURABLE,A164
GOLDEN FAIRY,E448
KYRUS UNICORN,D267
KEEN UNITY,G298
SERGEANT PEPPER,E432
YEE CHEONG SPIRIT,H379
MA COMET,H391
CIRCUIT SEVEN,D474
MR VALIANT,G288
LESS IS MORE,H406
SWEET DIAMOND,G063
HAPPY HORSE,H061
FORTUNE WARRIOR,H229
ACE POWER,J181
SUPER SIXTY,J071
FUNG,J101
MATSU VICTOR,H472
RED MAJESTY,E028
FOREMOST TEDDY,J058
DRAGON STAR,H128
VIVA HUNTER,E369
DURHAM STAR,E082
LITTLE FAIRY,H206
ATOMIC BEAUTY,H066
KASA PAPA,G312
DOUBLE WIN,H382
D STAR,G374
SUPER BABY,G364
HELENE WARRIOR,J207
SAMARKAND,H070
I CAN,H381
SETANTA,G095
IVY LEAGUE,H116
COMET SPLENDIDO,G071
HAMERON,H265
GLORIOUS JOURNEY,J137
GALVANIC,H147
ROMANTIC LAOS,G476
LOVERO,H451
SUPER JOY N FUN,J164
REWARD SMILE,H256
LUCKY ARCHANGEL,E385
RIGHTEOUS ARION,H059
GOLDEN EMPIRE,E490
NEVER TOO SOON,E434
SUGAR SUGAR,G016
KA YING CHEER,H369
HAPPY FAT CAT,G166
ONE FOR ALL,G012
MEGA BONUS,E184
SPECIAL HEDGE,H354
SOARING BRONCO,J162
MISTER DAPPER,H376
MIDORI BURLY,J083
SMART BEAUTY,G477
SMART CITY,J213
PERFECT PAIRING,J331
GALE SAGA,J152
DRAGON DELIGHT,G395
THE KHAN,H489
TSUEN WAN GLORY,E403
SUPER JOY,G251
VULCANUS,J150
MERCHANT PRINCE,H268
THE CONCENTRATION,H465
CHATEAU LE PECHE,H471
SUPER INFINITY,J320
KING OBERON,H407
JUBILANT WINNER,J346
AFFIRM,H306
BULB EMPEROR,J241
ALWAYS FLUKE,H252
OMAKASE,H416
URBAN TRIUMPH,H200
EXUBERANT,E282
SPORTIC WARRIOR,J385
MY FLYING ANGEL,J174
CHARMANDER,G437
PERFECT PEACH,E488
ISLAND GOLDEN,H018
BEAU GOSSE,G389
MEDIC ELITE,G129
SO AWESOME,D258
GO HERO,H315
CERVIN,H253
COOL BLUE,H011
CALIFORNIA ICON,H404
CIRCUIT BLAZING,H479
SOARING TOWER,D500
TEAM HAPPY,J218
MIGHTY STRENGTH,H450
ENJOY GOLF,J222
ONLY U,J037
STRONGEST BOY,H027
AEROINVINCIBLE,J180
COMING PATCH,G222
JOLLY COMPANION,H454
HANDSOME BOMB,H402
ORIENTAL TYCOON,J112
VANTASTIC CHOICE,G401
MEANINGFUL DRAGON,H453
MR ENERGIA,J239
CRAZY TREASURE,J063
REGENT GLORY,E323
SONIC BOOM,H144
SKY SONG,J159
ROBOT KNIGHT,H464
HERO STAR,D033
SHANGHAI STYLE,J093
WRITTEN CASA,J305
AMAZING FUN,H442
FORTUNE WHISKEY,J153
STRIVE FOR GLORY,D186
DEVAS TWELVE,H435
DRAGON FOUR SEAS,J317
SATIRICAL GLORY,H073
CHATER GOLD,J004
MISSION VOICE,H444
HARMONY GALAXY,J266
MISTER FOX,J059
LUCKY IMPACT,J337
TOP PEAK,H441
MILES AWAY,J221
SUPER WIN DRAGON,E253
CAPITAL DELIGHT,H262
TALENTS AMBITION,J136
SELF IMPROVEMENT,H337
PACKING BOLE,H246
VIVA CHALEUR,G368
MAJESTIC COLOUR,H124
GOR MO TUEN,J434
MAGNIAC,H141
UNPRESUMING,H143
NATURAL HIGH,J365
I AM THE BOSS,H446
MAGIC CONTROL,J333
STELLAR EXPRESS,J186
CELESTIAL COLOURS,H362
FLYING HIGH,E204
HASTEN DELIGHT,J229
MIGHTY COMMANDER,J360
CARROLL STREET,D489
SAVVY BRILLIANT,J437
ETERNAL FORTUNE,K010
MULTISUPER,G416
ORIENTAL SMOKE,E467
PHOENIX LIGHT,G192
CAPITAL LEGEND,G333
SUMMIT CHEERS,E221
SUNLIGHT POWER,H244
FORTUNATE SON,J446
MIGHTY STEED,J384
LO PAN SPIRIT,J233
SUPER LOVE DRAGON,J038
GREENWICH,H328
THE HEIR,H459
STAR MAC,J053
SOLEIL FIGHTER,J127
FUN TOGETHER,H041
PRAY FOR MIR,J245
BEAUTY GLORY,E459
SWEET ENCOUNTER,G426
MASSIVE ACTION,E445
PERFECT GENERAL,J417
CHATEAUNEUF,J219
SHINKANSEN,H277
GIMME FIVE,J099
TELECOM POWER,J332
HAPPY DAY,G119
JUDY'S GREAT,J016
GIANT LEAP,J143
