馬號,horse_name,檔位,負磅,騎師,練馬師,場次,比賽日期,賠率,total_races,avg_rank_last3,avg_rank_last5,win_rate,place_rate,win_rate_last10,days_since_last_run,races_last14days,races_last30days,last_race_date
10,手到快來,3,120,蔡明紹,桂福特,9,2026-09-06,25,0.0,99.0,99.0,0.0,0.0,0.0,999.0,0.0,0.0,
11,星價,9,117,黃寶妮 (-7),蘇偉賢,9,2026-09-06,28,0.0,99.0,99.0,0.0,0.0,0.0,999.0,0.0,0.0,
1,威利金箭,8,135,田泰安,桂福特,10,2026-09-06,4.1,5.0,3.0,3.2,0.0,0.6,0.0,3.0,1.0,1.0,2026-09-06
2,寶進,12,132,梁家俊,巫偉傑,10,2026-09-06,22,4.0,1.67,2.25,0.5,0.75,0.5,3.0,1.0,1.0,2026-09-06
3,天星,10,130,艾道拿,大衛希斯,10,2026-09-06,19,0.0,99.0,99.0,0.0,0.0,0.0,999.0,0.0,0.0,
4,得道猴王,2,130,布文,告東尼,10,2026-09-06,11,6.0,3.67,3.6,0.0,0.3333,0.0,94.0,0.0,0.0,2026-06-07
5,快活英雄,11,130,黃寶妮 (-7),黎昭昇,10,2026-09-06,18,4.0,2.0,2.5,0.5,0.5,0.5,140.0,0.0,0.0,2026-04-22
6,手機錶勁,5,129,何澤堯,呂健威,10,2026-09-06,11,5.0,1.67,1.8,0.6,1.0,0.6,123.0,0.0,0.0,2026-05-09
7,鑽石星空,1,126,巴度,徐雨石,10,2026-09-06,14,0.0,99.0,99.0,0.0,0.0,0.0,999.0,0.0,0.0,
8,金金小子,6,125,艾兆禮,文家良,10,2026-09-06,7.3,0.0,99.0,99.0,0.0,0.0,0.0,999.0,0.0,0.0,
9,定風波,3,122,黃智弘 (-3),沈集成,10,2026-09-06,22,0.0,99.0,99.0,0.0,0.0,0.0,999.0,0.0,0.0,
10,星運少爵,13,122,班德禮,方嘉柏,10,2026-09-06,29,8.0,1.67,2.0,0.25,0.875,0.25,3.0,1.0,1.0,2026-09-06
11,千杯不醉,9,119,希威森,廖康銘,10,2026-09-06,11,5.0,1.67,2.4,0.2,0.8,0.2,143.0,0.0,0.0,2026-04-19
12,支付之父,7,118,潘頓,葉楚航,10,2026-09-06,3.9,3.0,1.67,1.67,0.3333,1.0,0.3333,94.0,0.0,0.0,2026-06-07
13,捷駿,4,117,鍾易禮 (-2),沈集成,10,2026-09-06,64,0.0,99.0,99.0,0.0,0.0,0.0,999.0,0.0,0.0,
race_date,race_no,horse_no,horse_name,draw,weight,jockey,trainer,win_odds,0.0,99.0,99.0,0.0,0.0,0.0,999.0,0.0,0.0,
2026-09-09,1,1,閃電星福,11,135,金誠剛,沈集成,12,0.0,99.0,99.0,0.0,0.0,0.0,999.0,0.0,0.0,
2026-09-09,1,2,神異金剛,8,135,奧爾民,葉楚航,17,0.0,99.0,99.0,0.0,0.0,0.0,999.0,0.0,0.0,
2026-09-09,1,3,順成之星,2,134,周俊樂 (-2),賀賢,14,0.0,99.0,99.0,0.0,0.0,0.0,999.0,0.0,0.0,
2026-09-09,1,4,閃電武士,1,134,艾道拿,大衛希斯,12,0.0,99.0,99.0,0.0,0.0,0.0,999.0,0.0,0.0,
2026-09-09,1,5,金風萬里,9,133,潘頓,桂福特,5.5,0.0,99.0,99.0,0.0,0.0,0.0,999.0,0.0,0.0,
2026-09-09,1,6,果然僥倖,4,130,何澤堯,蘇偉賢,8.2,0.0,99.0,99.0,0.0,0.0,0.0,999.0,0.0,0.0,
2026-09-09,1,7,魅力知福,3,130,艾兆禮,蔡約翰,7.8,0.0,99.0,99.0,0.0,0.0,0.0,999.0,0.0,0.0,
2026-09-09,1,8,洛河,5,127,楊明綸,丁冠豪,9.1,0.0,99.0,99.0,0.0,0.0,0.0,999.0,0.0,0.0,
2026-09-09,1,9,迅意,7,125,希威森,韋達,15,0.0,99.0,99.0,0.0,0.0,0.0,999.0,0.0,0.0,
2026-09-09,1,10,電訊驕陽,6,125,班德禮,徐雨石,7.3,0.0,99.0,99.0,0.0,0.0,0.0,999.0,0.0,0.0,
2026-09-09,1,11,建測精英,12,121,潘明輝,黎昭昇,17,0.0,99.0,99.0,0.0,0.0,0.0,999.0,0.0,0.0,
2026-09-09,1,12,添喜運,10,119,田泰安,鄭俊偉,7.6,0.0,99.0,99.0,0.0,0.0,0.0,999.0,0.0,0.0,
2026-09-09,2,1,勁進駒,4,135,潘頓,呂健威,5.0,0.0,99.0,99.0,0.0,0.0,0.0,999.0,0.0,0.0,
2026-09-09,2,2,加州活力,10,132,艾道拿,告東尼,16,0.0,99.0,99.0,0.0,0.0,0.0,999.0,0.0,0.0,
2026-09-09,2,3,紅海勁,7,132,何澤堯,文家良,8.8,0.0,99.0,99.0,0.0,0.0,0.0,999.0,0.0,0.0,
2026-09-09,2,4,領航天子,5,129,周俊樂 (-2),廖康銘,8.1,0.0,99.0,99.0,0.0,0.0,0.0,999.0,0.0,0.0,
2026-09-09,2,5,有情有義,9,127,黃智弘 (-3),方嘉柏,16,0.0,99.0,99.0,0.0,0.0,0.0,999.0,0.0,0.0,
2026-09-09,2,6,追風,3,127,艾兆禮,羅富全,16,0.0,99.0,99.0,0.0,0.0,0.0,999.0,0.0,0.0,
2026-09-09,2,7,風起雲湧,1,122,田泰安,蘇偉賢,6.8,0.0,99.0,99.0,0.0,0.0,0.0,999.0,0.0,0.0,
2026-09-09,2,8,馬上盈,6,121,金誠剛,游達榮,12,0.0,99.0,99.0,0.0,0.0,0.0,999.0,0.0,0.0,
2026-09-09,2,9,準希望,2,120,巴度,大衛希斯,3.0,0.0,99.0,99.0,0.0,0.0,0.0,999.0,0.0,0.0,
2026-09-09,2,10,電路一百,8,116,巫顯東 (-2),沈集成,29,0.0,99.0,99.0,0.0,0.0,0.0,999.0,0.0,0.0,
2026-09-09,3,1,翠湖烈風,7,135,潘頓,賀賢,4.9,0.0,99.0,99.0,0.0,0.0,0.0,999.0,0.0,0.0,
2026-09-09,3,2,精益大師,12,133,袁幸堯 (-10),葉楚航,9.4,0.0,99.0,99.0,0.0,0.0,0.0,999.0,0.0,0.0,
2026-09-09,3,3,猛將兄,6,133,巴度,黎昭昇,7.9,0.0,99.0,99.0,0.0,0.0,0.0,999.0,0.0,0.0,
2026-09-09,3,4,銀亮濠俠,4,130,田泰安,徐雨石,8.6,0.0,99.0,99.0,0.0,0.0,0.0,999.0,0.0,0.0,
2026-09-09,3,5,勇者無敵,8,129,希威森,韋達,22,0.0,99.0,99.0,0.0,0.0,0.0,999.0,0.0,0.0,
2026-09-09,3,6,後無來者,10,129,奧爾民,方嘉柏,19,0.0,99.0,99.0,0.0,0.0,0.0,999.0,0.0,0.0,
2026-09-09,3,7,銳高,3,129,周俊樂 (-2),文家良,6.5,0.0,99.0,99.0,0.0,0.0,0.0,999.0,0.0,0.0,
2026-09-09,3,8,駿先生,9,124,何澤堯,蘇偉賢,26,0.0,99.0,99.0,0.0,0.0,0.0,999.0,0.0,0.0,
2026-09-09,3,9,千杯,1,124,鍾易禮 (-2),告東尼,7.7,0.0,99.0,99.0,0.0,0.0,0.0,999.0,0.0,0.0,
2026-09-09,3,10,鑽得勝,11,123,艾兆禮,游達榮,20,0.0,99.0,99.0,0.0,0.0,0.0,999.0,0.0,0.0,
2026-09-09,3,11,東方魅影,2,119,班德禮,大衛希斯,7.2,0.0,99.0,99.0,0.0,0.0,0.0,999.0,0.0,0.0,
2026-09-09,3,12,戰騎飛,5,119,楊明綸,丁冠豪,18,0.0,99.0,99.0,0.0,0.0,0.0,999.0,0.0,0.0,
2026-09-09,4,1,劍飛聲,2,135,何澤堯,告東尼,7.1,0.0,99.0,99.0,0.0,0.0,0.0,999.0,0.0,0.0,
2026-09-09,4,2,深心星,1,133,黃智弘 (-3),方嘉柏,4.9,0.0,99.0,99.0,0.0,0.0,0.0,999.0,0.0,0.0,
2026-09-09,4,3,贏玥,11,132,梁家俊,巫偉傑,8.6,0.0,99.0,99.0,0.0,0.0,0.0,999.0,0.0,0.0,
2026-09-09,4,4,卓越蒨鋒,8,131,潘頓,黎昭昇,4.3,0.0,99.0,99.0,0.0,0.0,0.0,999.0,0.0,0.0,
2026-09-09,4,5,妙算強人,4,130,蔡明紹,徐雨石,24,0.0,99.0,99.0,0.0,0.0,0.0,999.0,0.0,0.0,
2026-09-09,4,6,創科群英,7,127,奧爾民,游達榮,17,0.0,99.0,99.0,0.0,0.0,0.0,999.0,0.0,0.0,
2026-09-09,4,7,浪漫老撾,10,126,周俊樂 (-2),鄭俊偉,13,0.0,99.0,99.0,0.0,0.0,0.0,999.0,0.0,0.0,
2026-09-09,4,8,孤風潛影,6,124,楊明綸,大衛希斯,12,0.0,99.0,99.0,0.0,0.0,0.0,999.0,0.0,0.0,
2026-09-09,4,9,顏色的顏,3,123,艾道拿,韋達,18,0.0,99.0,99.0,0.0,0.0,0.0,999.0,0.0,0.0,
2026-09-09,4,10,凝妙星,9,120,田泰安,大衛希斯,7.7,0.0,99.0,99.0,0.0,0.0,0.0,999.0,0.0,0.0,
2026-09-09,4,11,森林之王,5,117,艾兆禮,羅富全,11,0.0,99.0,99.0,0.0,0.0,0.0,999.0,0.0,0.0,
2026-09-09,5,1,時時精準,10,135,金誠剛,游達榮,16,0.0,99.0,99.0,0.0,0.0,0.0,999.0,0.0,0.0,
2026-09-09,5,2,一定掂,6,132,周俊樂 (-2),姚本輝,6.4,0.0,99.0,99.0,0.0,0.0,0.0,999.0,0.0,0.0,
2026-09-09,5,3,中國心,4,126,楊明綸,大衛希斯,8.1,0.0,99.0,99.0,0.0,0.0,0.0,999.0,0.0,0.0,
2026-09-09,5,4,做好自己,5,125,艾道拿,呂健威,6.1,0.0,99.0,99.0,0.0,0.0,0.0,999.0,0.0,0.0,
2026-09-09,5,5,紫辰之星,1,124,田泰安,韋達,4.0,0.0,99.0,99.0,0.0,0.0,0.0,999.0,0.0,0.0,
2026-09-09,5,6,暴風之子,2,122,黃寶妮 (-7),徐雨石,10,0.0,99.0,99.0,0.0,0.0,0.0,999.0,0.0,0.0,
2026-09-09,5,7,瑪瑙,7,122,潘明輝,羅富全,15,0.0,99.0,99.0,0.0,0.0,0.0,999.0,0.0,0.0,
2026-09-09,5,8,建測羣英,8,122,潘頓,黎昭昇,13,0.0,99.0,99.0,0.0,0.0,0.0,999.0,0.0,0.0,
2026-09-09,5,9,風將,12,122,蔡明紹,告東尼,16,0.0,99.0,99.0,0.0,0.0,0.0,999.0,0.0,0.0,
2026-09-09,5,10,將義,3,121,何澤堯,巫偉傑,19,0.0,99.0,99.0,0.0,0.0,0.0,999.0,0.0,0.0,
2026-09-09,5,11,同心同夢,9,118,希威森,桂福特,24,0.0,99.0,99.0,0.0,0.0,0.0,999.0,0.0,0.0,
2026-09-09,5,12,上浦福旺,11,116,鍾易禮 (-2),沈集成,13,0.0,99.0,99.0,0.0,0.0,0.0,999.0,0.0,0.0,
2026-09-09,6,1,藍地球,2,135,袁幸堯 (-10),伍鵬志,11,0.0,99.0,99.0,0.0,0.0,0.0,999.0,0.0,0.0,
2026-09-09,6,2,美麗登場,6,132,潘頓,羅富全,2.4,0.0,99.0,99.0,0.0,0.0,0.0,999.0,0.0,0.0,
2026-09-09,6,3,巴閉王,12,132,周俊樂 (-2),呂健威,15,0.0,99.0,99.0,0.0,0.0,0.0,999.0,0.0,0.0,
